CategoryID,LocationID,ProductName,CPU_GHz,RAM_GB,Storage_GB,Price,IsDefective
1000,1000,'Alienware Aurora ',2,7,3499,2120.1,0
1001,1003,'Apple MacBook Air M3 (13-inch) ',3.4,14,2680,853.8,0
1000,1008,'Lenovo Yoga',3.1,8,689,2115.7,0
1001,1000,'Lenovo Yoga',2.7,11,231,692.2,0
1000,1001,'Dell XPS ',4.6,10,3966,1097.9,0
1001,1000,'Alienware Aurora ',3.8,8,535,322.3,0
1000,1006,'Dell XPS ',2,13,1354,659.1,0
1000,1003,'Dell XPS ',1.7,4,2263,1049.9,0
1001,1008,'Dell XPS ',2.1,7,4256,1262.5,0
1000,1000,'Alienware Aurora ',2.5,14,244,519.1,0
1001,1005,'Alienware Aurora ',1.2,12,547,1015.4,0
1000,1003,'Lenovo Yoga',3.9,7,2393,387.5,0
1000,1007,'Apple MacBook Air M3 (13-inch) ',1.1,16,2700,200.3,1
1000,1005,'Dell XPS ',1.4,7,2556,1922.1,0
1001,1001,'Alienware Aurora ',2,5,1652,1499.7,1
1000,1008,'Apple MacBook Air M3 (13-inch) ',4.8,15,463,1652.1,0
1000,1003,'Dell XPS ',3.3,12,4501,2386.9,0
1000,1006,'Alienware Aurora ',2.5,4,4508,1492,0
1000,1006,'Dell XPS ',4.7,8,3177,1799.1,0
1000,1009,'Apple MacBook Air M3 (13-inch) ',4.4,13,1118,1535,0
1001,1008,'Alienware Aurora ',1.7,9,3996,2809,0
1001,1009,'Dell XPS ',3.7,9,3460,1525.6,0
1001,1007,'Lenovo Yoga',2.2,12,1732,1143.3,0
1001,1000,'Alienware Aurora ',3.9,4,2209,1434,0
1001,1007,'Alienware Aurora ',2.5,7,1710,806.8,0
1001,1009,'Lenovo Yoga',1.2,10,2954,209.7,1
1000,1005,'Dell XPS ',3.3,7,2338,1396,0
1001,1008,'Apple MacBook Air M3 (13-inch) ',2.8,14,1856,857.6,0
1001,1003,'Dell XPS ',4.4,4,136,1347.7,0
1000,1004,'Lenovo Yoga',3.2,6,2145,1861.5,0
1001,1003,'Lenovo Yoga',1.9,8,4722,1531.5,0
1001,1006,'Dell XPS ',4.1,7,159,762,1
1000,1008,'Lenovo Yoga',3.7,9,4134,1345,0
1001,1008,'Dell XPS ',1.5,4,1063,978.4,0
1000,1002,'Lenovo Yoga',3.5,5,2736,1199.9,0
1001,1002,'Dell XPS ',4.2,9,3268,555.7,0
1000,1002,'Apple MacBook Air M3 (13-inch) ',2.9,10,3608,1846,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',3.8,6,4802,1068.5,0
1000,1004,'Dell XPS ',4.4,7,2709,1005.1,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',1.2,12,785,1133.7,0
1001,1004,'Lenovo Yoga',1.8,10,866,1219.5,0
1000,1008,'Lenovo Yoga',3,6,648,275,0
1000,1007,'Alienware Aurora ',4.7,6,4959,1971.3,0
1000,1006,'Lenovo Yoga',2.1,8,345,1782.6,0
1001,1004,'Dell XPS ',3.4,7,2262,1193.2,0
1000,1004,'Lenovo Yoga',2.4,12,2003,2617.1,0
1000,1000,'Alienware Aurora ',1.1,15,1047,1348.8,0
1001,1003,'Alienware Aurora ',4,13,2293,516.5,0
1000,1006,'Alienware Aurora ',2.2,8,2428,1108.9,0
1001,1001,'Dell XPS ',4.6,11,2877,2354.3,0
1000,1006,'Apple MacBook Air M3 (13-inch) ',1.8,8,2613,1672.6,0
1000,1007,'Alienware Aurora ',3.4,4,219,2501.7,0
1001,1001,'Lenovo Yoga',2.5,15,4752,221.8,0
1000,1002,'Apple MacBook Air M3 (13-inch) ',4.6,16,328,1321.1,0
1000,1004,'Dell XPS ',4.8,15,4901,1296.8,0
1001,1005,'Alienware Aurora ',3.5,14,3883,1441.9,0
1001,1001,'Alienware Aurora ',3.3,6,694,488.2,0
1000,1001,'Alienware Aurora ',1.7,13,443,2735.3,0
1001,1007,'Dell XPS ',3.8,6,3187,1661.5,0
1001,1004,'Apple MacBook Air M3 (13-inch) ',3.7,5,741,1549.5,0
1000,1007,'Dell XPS ',4.4,11,1173,728.5,0
1001,1003,'Lenovo Yoga',2.1,5,1359,885.9,0
